tconst	parentTconst	seasonNumber	episodeNumber
tt0017618	tt10603444	1	5
tt0017660	tt10603444	1	7
tt0017847	tt10603444	1	8
tt0017949	tt10603444	1	4
tt0018150	tt10603444	1	3
tt0018212	tt10603444	1	6
tt0018213	tt10603444	1	2
tt0018324	tt10603444	1	9
tt0041951	tt0041038	1	9
tt0042816	tt0989125	1	17
tt0042889	tt0989125	\N	\N
tt0043426	tt0040051	3	42
tt0043631	tt0989125	2	16
tt0043693	tt0989125	2	8
tt0043710	tt0989125	3	3
tt0044093	tt0959862	1	6
tt0044668	tt0044243	2	16
tt0044901	tt0989125	3	46
tt0045519	tt0989125	4	11